==== zs_oxygen_b4_rec_20260922_205535_2.txt
SPAWN t=7.88 Roma p=[1432, -844, -95]
t=  9.12 Roma   bot          st=wander   intent=wander   p=[1198, -769, -96] wish=[0.43, -0.9] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  9.33 Roma   bot          st=wander   intent=wander   p=[1207, -787, -96] wish=[0.61, -0.79] goal=[1257, -686, -94] path ok=1 reach=1 i=10 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  9.33 Ruslan bot          st=wander   intent=wander   p=[1125, -414, -96] wish=[-0.33, -0.94] goal=[1097, -494, -94] path ok=1 reach=1 i=7 n=13 len=746 endp=[1097, -494, -94] door=None comp=2120 gcomp=None mode=direct
t=  9.55 Roma   bot          st=wander   intent=wander   p=[1218, -804, -96] wish=[0.65, -0.76] goal=[1257, -686, -94] path ok=1 reach=1 i=10 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  9.55 Ruslan bot          st=wander   intent=wander   p=[1118, -433, -96] wish=[-0.33, -0.94] goal=[1097, -494, -94] path ok=1 reach=1 i=7 n=13 len=746 endp=[1097, -494, -94] door=None comp=2120 gcomp=None mode=direct
t=  9.76 Roma   bot          st=wander   intent=wander   p=[1226, -823, -96] wish=[0.85, -0.53] goal=[1257, -686, -94] path ok=1 reach=1 i=10 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  9.76 Ruslan bot          st=wander   intent=wander   p=[1112, -452, -96] wish=[-0.33, -0.94] goal=[1097, -494, -94] path ok=1 reach=1 i=7 n=13 len=746 endp=[1097, -494, -94] door=None comp=2120 gcomp=None mode=direct
t=  9.97 Roma   bot          st=wander   intent=wander   p=[1243, -835, -96] wish=[0.97, -0.25] goal=[1257, -686, -94] path ok=1 reach=1 i=10 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  9.97 Ruslan bot          st=wander   intent=wander   p=[1114, -471, -96] wish=[0.6, -0.8] goal=[1417, -878, -94] path ok=1 reach=1 i=1 n=11 len=622 endp=[1417, -878, -94] door=None comp=2120 gcomp=None mode=path
t= 10.18 Roma   bot          st=wander   intent=wander   p=[1263, -841, -96] wish=[0.99, -0.12] goal=[1257, -686, -94] path ok=1 reach=1 i=11 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
